18/03/21 05:11:21 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.3-hadoop2
18/03/21 05:11:22 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.5:8032
18/03/21 05:11:23 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/03/21 05:11:24 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
18/03/21 05:11:25 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
18/03/21 05:11:26 INFO input.FileInputFormat: Total input files to process : 3035
18/03/21 05:11:26 INFO mapreduce.JobSubmitter: number of splits:3035
18/03/21 05:11:26 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1521605320044_0002
18/03/21 05:11:27 INFO impl.YarnClientImpl: Submitted application application_1521605320044_0002
18/03/21 05:11:27 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1521605320044_0002/
18/03/21 05:11:27 INFO mapreduce.Job: Running job: job_1521605320044_0002
18/03/21 05:11:35 INFO mapreduce.Job: Job job_1521605320044_0002 running in uber mode : false
18/03/21 06:25:39 INFO mapreduce.Job:  map 100% reduce 23%
18/03/21 06:25:41 INFO mapreduce.Job:  map 100% reduce 24%
18/03/21 06:25:42 INFO mapreduce.Job:  map 100% reduce 28%
18/03/21 06:25:43 INFO mapreduce.Job:  map 100% reduce 29%
18/03/21 06:25:45 INFO mapreduce.Job:  map 100% reduce 35%
18/03/21 06:25:46 INFO mapreduce.Job:  map 100% reduce 40%
18/03/21 06:25:47 INFO mapreduce.Job:  map 100% reduce 41%
18/03/21 06:25:48 INFO mapreduce.Job:  map 100% reduce 46%
18/03/21 06:25:49 INFO mapreduce.Job:  map 100% reduce 47%
18/03/21 06:25:51 INFO mapreduce.Job:  map 100% reduce 48%
18/03/21 06:25:52 INFO mapreduce.Job:  map 100% reduce 50%
18/03/21 06:25:53 INFO mapreduce.Job:  map 100% reduce 51%
18/03/21 06:25:54 INFO mapreduce.Job:  map 100% reduce 52%
18/03/21 06:25:55 INFO mapreduce.Job:  map 100% reduce 53%
18/03/21 06:25:57 INFO mapreduce.Job:  map 100% reduce 55%
18/03/21 06:25:58 INFO mapreduce.Job:  map 100% reduce 56%
18/03/21 06:25:59 INFO mapreduce.Job:  map 100% reduce 58%
18/03/21 06:26:00 INFO mapreduce.Job:  map 100% reduce 59%
18/03/21 06:26:03 INFO mapreduce.Job:  map 100% reduce 61%
18/03/21 06:26:04 INFO mapreduce.Job:  map 100% reduce 62%
18/03/21 06:26:06 INFO mapreduce.Job:  map 100% reduce 64%
18/03/21 06:26:09 INFO mapreduce.Job:  map 100% reduce 65%
18/03/21 06:26:10 INFO mapreduce.Job:  map 100% reduce 67%
18/03/21 06:26:11 INFO mapreduce.Job:  map 100% reduce 68%
18/03/21 06:26:12 INFO mapreduce.Job:  map 100% reduce 69%
18/03/21 06:26:13 INFO mapreduce.Job:  map 100% reduce 70%
18/03/21 06:26:15 INFO mapreduce.Job:  map 100% reduce 71%
18/03/21 06:26:16 INFO mapreduce.Job:  map 100% reduce 73%
18/03/21 06:26:18 INFO mapreduce.Job:  map 100% reduce 74%
18/03/21 06:26:19 INFO mapreduce.Job:  map 100% reduce 75%
18/03/21 06:26:21 INFO mapreduce.Job:  map 100% reduce 76%
18/03/21 06:26:22 INFO mapreduce.Job:  map 100% reduce 78%
18/03/21 06:26:24 INFO mapreduce.Job:  map 100% reduce 80%
18/03/21 06:26:27 INFO mapreduce.Job:  map 100% reduce 82%
18/03/21 06:26:28 INFO mapreduce.Job:  map 100% reduce 83%
18/03/21 06:26:29 INFO mapreduce.Job:  map 100% reduce 84%
18/03/21 06:26:30 INFO mapreduce.Job:  map 100% reduce 85%
18/03/21 06:26:33 INFO mapreduce.Job:  map 100% reduce 87%
18/03/21 06:26:35 INFO mapreduce.Job:  map 100% reduce 88%
18/03/21 06:26:36 INFO mapreduce.Job:  map 100% reduce 89%
18/03/21 06:26:37 INFO mapreduce.Job:  map 100% reduce 90%
18/03/21 06:26:39 INFO mapreduce.Job:  map 100% reduce 91%
18/03/21 06:26:42 INFO mapreduce.Job:  map 100% reduce 93%
18/03/21 06:26:43 INFO mapreduce.Job:  map 100% reduce 94%
18/03/21 06:26:48 INFO mapreduce.Job:  map 100% reduce 96%
18/03/21 06:26:49 INFO mapreduce.Job:  map 100% reduce 97%
